local_name,address,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,apto_sillas_de_ruedas,atmosfera_agradable,apto_grupos_grandes,solo_efectivo,state,City
Quiznos,"Quiznos, 2490 SW 17th Ave, Miami, FL 33145",0x88d9b64fee5193ab:0x86da272b8d1aa234,25.746303299999997,-80.2219976,"Sandwich shop, Caterer, Deli, Fast food restaurant, Restaurant",3.0,8,0,0,0,0,FL,Miami
Chart House - CLOSED,"Chart House - CLOSED, 51 Charthouse Dr, Miami, FL 33133",0x88d9b7ccc71589f3:0x8c2e01f74a939004,25.729039999999998,-80.232987,"Restaurant, American restaurant, Banquet hall, Fine dining restaurant, Seafood restaurant, Steak house",3.1,26,1,0,1,0,FL,Miami
Tapelia,"Tapelia, 30 SW 12th St, Miami, FL 33130",0x88d9b686ac4f6f4b:0x646dba9ec289041f,25.762428,-80.1933188,Restaurant,3.2,8,0,0,0,0,FL,Miami
Subway,"Subway, 1395 Brickell Ave Suite 160, Miami, FL 33131",0x88d9b6811a7761f5:0xf3d18ce005b495a0,25.760705599999998,-80.1914888,"Sandwich shop, Fast food restaurant, Takeout Restaurant, Restaurant",3.3,27,0,0,0,0,FL,Miami
Biscayne Backyard Barbecue,"Biscayne Backyard Barbecue, 11064 Biscayne Blvd, Miami, FL 33161",0x88d9b395c6179c89:0x914b0aafb453b3b5,25.8779042,-80.1684336,Restaurant,3.9,23,0,0,0,0,FL,Miami
Havana Vice,"Havana Vice, 13960 SW 8th St, Miami, FL 33184",0x88d9bfa555b15265:0x7c664601387e00a4,25.760469099999998,-80.4212864,"Restaurant, Live music venue",3.9,48,0,0,0,0,FL,Miami
El Burrito,"El Burrito, 3105 Grand Ave, Miami, FL 33133",0x88d9b7c578a08e73:0x3724ae2df08e799f,25.728565399999997,-80.2424307,Mexican restaurant,3.9,8,1,0,0,1,FL,Miami
Papa Nose Italian Eatery,"Papa Nose Italian Eatery, 10851 SW 40th St, Miami, FL 33165",0x88d9bf5210baccbb:0x1a21766a4ff5bce6,25.7326205,-80.3707,Italian restaurant,4.0,7,0,0,0,0,FL,Miami
Las Vegas Cuban Cuisine,"Las Vegas Cuban Cuisine, 11995 SW 26th St, Miami, FL 33175",0x88d9bf6ac480a271:0xbf9b356e22a9a9c7,25.745692,-80.39014,Cuban restaurant,4.0,48,0,0,0,0,FL,Miami
Fritanga El Campesino,"Fritanga El Campesino, 2001 NW 36th St, Miami, FL 33142",0x88d9b12bab9b09ab:0xc3d2e262fbbd88a9,25.8096274,-80.2291755,"Honduran restaurant, Cafe",4.0,35,0,0,0,0,FL,Miami
Jimmy John's,"Jimmy John's, 3423 Main Hwy, Miami, FL 33133",0x88d9b7cf901aa20d:0x7ac94c53e005abde,25.727453,-80.24264699999999,"Sandwich shop, Caterer, Delivery Restaurant, Restaurant",4.1,16,1,0,0,0,FL,Miami
Chimi El Tigre - Wynwood,"Chimi El Tigre - Wynwood, 120 NE 27th St, Miami, FL 33137",0x88d9a9328e54ddaf:0x7003811c3cc8be0a,25.802139999999998,-80.19265,Dominican restaurant,4.1,18,0,0,0,0,FL,Miami
