local_name,address,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,apto_sillas_de_ruedas,atmosfera_agradable,apto_grupos_grandes,solo_efectivo,city
Domino's Pizza,"Domino's Pizza, 5769 NW 7th St Ste 22, Miami, FL 33126",0x88d9b9847fc1d547:0xa69a99b892a3615d,25.7787597,-80.2903393,Restaurant,2.4,27,0,0,0,0,Miami
The Produce Connection,"The Produce Connection, 2200 NW 23rd St, Miami, FL 33142",0x88d9b729d57eb3cd:0xc7ed59e9a4cff5fb,25.797904,-80.232051,Restaurant,3.3,3,0,0,0,0,Miami
Taco Bell,"Taco Bell, International Airport, Miami, FL 33126",0x88d9b9e2e5d1329d:0x614e7fdf2452832,25.796133899999997,-80.2789671,Restaurant,3.7,16,0,0,0,0,Miami
Arena's Burger Bar,"Arena's Burger Bar, 900 Biscayne Blvd Suite R101B, Miami, FL 33132",0x88d9b6a0fee2f1dd:0x9028448132310436,25.783089,-80.190133,Restaurant,3.9,8,0,0,0,0,Miami
Shawarmazing,"Shawarmazing, 17025 W Dixie Hwy, North Miami Beach, FL 33160",0x88d9ad12d1acaa9d:0x9f080749822cf2d1,25.932135,-80.1528316,Restaurant,4.1,8,0,0,0,0,Miami
1826 Restaurant & Lounge,"1826 Restaurant & Lounge, 1826 Collins Ave, Miami Beach, FL 33139",0x88d9b49c9083a807:0x8a98f83af4c5af2f,25.7944681,-80.12960439999999,Restaurant,4.2,34,0,0,0,0,Miami
Delivery Factory,"Delivery Factory, 6948 Collins Ave #206, Miami Beach, FL 33141",0x88d9b2e786332c65:0xbebb82379b11ce07,25.855262,-80.120722,Restaurant,4.4,48,0,0,0,0,Miami
ITO Mojitos y Cafecitos,"ITO Mojitos y Cafecitos, 7450 Ocean Terrace, Miami Beach, FL 33141",0x88d9b2c27d9e5ec7:0x3c7f8f02eb6664f0,25.860523999999998,-80.12019099999999,Restaurant,4.4,86,0,0,0,0,Miami
147 farmers Market,"147 farmers Market, 20200 SW 147th Ave, Miami, FL 33187",0x88d9c35c17198e61:0x82d13410640779d2,25.5781854,-80.4298835,Restaurant,4.8,24,1,0,0,0,Miami
Rooftop Hookah Exotix - Sky Yard,"Rooftop Hookah Exotix - Sky Yard, Sky Yard rooftop bar, 723 Lincoln Ln N, Miami Beach, FL 33139",0x88d9b5e7a34bf4a9:0xa3033f83a15b2f05,25.7917944,-80.1360224,Restaurant,4.8,58,0,0,0,0,Miami
Meson Milman Cafe,"Meson Milman Cafe, 353 SE 2nd St, Miami, FL 33131",0x88d9b69d933b71b5:0x16dd9fdcbc6424cb,25.7727351,-80.1885712,Restaurant,4.8,4,0,0,0,0,Miami
Masaru Sushi & Thai,"Masaru Sushi & Thai, 1671 Alton Rd, Miami Beach, FL 33139",0x88d9b487a694c993:0x5214b230970ea5c2,25.7913127,-80.1410106,Restaurant,4.9,25,1,0,0,0,Miami
"Saleya, Chefs' Pantry","Saleya, Chefs' Pantry, 22 NE 3rd Ave, Miami, FL 33132",0x88d9b7f0f771cd39:0xf572ce5cd9d7dff3,25.7747899,-80.1889633,Restaurant,4.9,8,1,0,0,0,Miami
Mind2Body Inc,"Mind2Body Inc, 14289 SW 94th Cir Ln, Miami, FL 33186",0x88d9c171cf49b37b:0xa1c1a07922ac3634,25.6795738,-80.4213951,Restaurant,5.0,28,0,0,0,0,Miami
Thea's,"Thea's, 1951 NW 7th Ave, Miami, FL 33136",0x88d9b6b76e1ab47f:0x63054df52ccd29bc,25.7946782,-80.2063924,Restaurant,5.0,18,0,0,0,0,Miami
Jerico Food Service Equipment and Supply,"Jerico Food Service Equipment and Supply, 3624 NW 59th St, Miami, FL 33142",0x88d9b0bf0e37d4ed:0xe9be1853cb8865e4,25.8278966,-80.2566066,Restaurant,5.0,5,1,0,0,0,Miami
Taco Bell,"Taco Bell, 2700 Miamisburg Centerville Rd, Dayton, OH 45459",0x884088fc9967f981:0x9eebe87748ac53f9,39.633513799999996,-84.2203017,Restaurant,1.7000000000000002,28,1,0,0,1,Miami
Flame Caffe and Grill.,"Flame Caffe and Grill., 447 Española Way, Miami Beach, FL 33139",0x88d9b48feb95f44d:0xd201bd38aca5980c,25.7870429,-80.1328262,Restaurant,3.1,8,1,1,0,0,Miami
Red Pizza,"Red Pizza, 1260 Washington Ave, Miami Beach, FL 33139",0x88d9b48e24a338ed:0xf26bfa39e3a817aa,25.7840518,-80.1323689,Restaurant,3.2,6,1,1,0,0,Miami
Gold Pizza Coffee,"Gold Pizza Coffee, 401 71st St, Miami Beach, FL 33141",0x88d9b2e7c7c5b56f:0x608c7a7f13169602,25.8563139,-80.1225667,Restaurant,3.2,78,1,1,0,0,Miami
China Lakes Restaurant,"China Lakes Restaurant, 19589 NW 57th Ave, Miami Gardens, FL 33055",0x88d9a59e131d8c5f:0x3cb02199b5a41074,25.9525145,-80.2934957,Restaurant,3.6,25,1,1,0,0,Miami
TyTys Kitchen,"TyTys Kitchen, nw, 6781 NW 27th Ave, Miami, FL 33147",0x88d9b0e67a3b5e45:0x1a467cf8af7f0c5d,25.836011,-80.2410831,Restaurant,3.8,6,0,1,0,0,Miami
El Colon Cafetería,"El Colon Cafetería, 312 SW 12th Ave, Miami, FL 33130",0x88d9b755c3b752b1:0x9ab3b44d0f1d9101,25.770305999999998,-80.214969,Restaurant,4.0,2,0,1,0,0,Miami
Blue boy pizza,"Blue boy pizza, 2809 SW 32nd Ave, Miami, FL 33133",0x88d9b7c963db437d:0x24a1d79e38f2243d,25.7374285,-80.2458819,Restaurant,4.3,8,1,1,0,0,Miami
Napoli's Bakery,"Napoli's Bakery, 13375 SW 42nd St, Miami, FL 33175",0x88d9bff6b2aa9fef:0xa8a66dce1a2663f5,25.7297907,-80.4110281,Restaurant,4.3,8,1,1,0,0,Miami
GRIOT SPOT,"GRIOT SPOT, 15327 NW 7th Ave, North Miami Beach, FL 33169",0x88d9affca8df081d:0x8802eb4d1cacdd35,25.915556199999997,-80.21155399999999,Restaurant,4.4,32,1,1,0,0,Miami
Pasteles Edward Miami,"Pasteles Edward Miami, 7299 NW 36th St, Miami, FL 33166",0x88d9b93a98bcc49f:0x7c15231e34ba37b4,25.8105254,-80.3156539,Restaurant,4.8,38,1,1,0,0,Miami
China Ocean Chinese Restaurant,"China Ocean Chinese Restaurant, 15098 SW 56th St, Miami, FL 33185",0x88d9c1fea866a531:0xa1b7a01c96d54df9,25.7130847,-80.4379621,Restaurant,4.8,16,1,1,0,0,Miami
Shawarma miami,"Shawarma miami, 9165 SW 162nd Ave suite 100, Miami, FL 33196",0x88d9eb6f9c1dd6d7:0x8f90fd12b1135a75,25.681776,-80.45579339999999,Restaurant,4.8,18,1,1,0,0,Miami
"Smoke Box BBQ, LLC","Smoke Box BBQ, LLC, 8030 NW 154th St, Miami Lakes, FL 33016",0x88d9a583723b6c63:0xefdebb1c6080f41e,25.9126759,-80.3315126,Restaurant,5.0,3,1,1,0,0,Miami
Atlantic Bar & Grill,"Atlantic Bar & Grill, 1024 Ocean Dr, Miami Beach, FL 33139",0x88d9b49210ef53c5:0x9510c2ff8d957f84,25.780972,-80.1308165,Restaurant,2.9,28,0,0,0,0,Miami
Subway Restaurants,"Subway Restaurants, NW 54th St, Miami, FL 33127",0x88d9b15d0e3ce6dd:0x8d86dc77a8b2eff,25.825770199999997,-80.196769,Restaurant,3.0,48,0,0,0,0,Miami
Nina's House,"Nina's House, 4041 Collins Ave, Miami Beach, FL 33140",0x88d9b3685b537e79:0xe37f4f150be3021c,25.812679199999998,-80.1226291,Restaurant,3.0,3,0,0,0,0,Miami
Auntie Anne's,"Auntie Anne's, 20505 S Dixie Hwy, Miami, FL 33189",0x88d9c37ea9ff58d5:0x41e4f4f612ec5c44,25.574980399999998,-80.36963349999999,Restaurant,3.1,8,1,0,0,0,Miami
House of Dog,"House of Dog, 456 W 41st St, Miami Beach, FL 33140",0x88d9b36f0795f59d:0x563af0a171b1324,25.8135799,-80.1288005,Restaurant,3.2,54,0,0,0,0,Miami
China Gate Restaurant,"China Gate Restaurant, 19349 S Dixie Hwy, Miami, FL 33157",0x88d9c4795fe32bf7:0x158dd1ffa0a56579,25.5877469,-80.3598076,Restaurant,3.6,26,0,0,0,0,Miami
Tocaya Organica Miami,"Tocaya Organica Miami, 920 Lincoln Rd, Miami Beach, FL 33139",0x88d9b4866ef8dc45:0xb5f43ba6304328f2,25.7901506,-80.1382282,Restaurant,4.0,38,0,0,0,0,Miami
Subway,"Subway, 21627 S Dixie Hwy, Miami, FL 33170",0x88d9c36ebb30c37d:0x97527895f7c6cec9,25.5653892,-80.3818545,Restaurant,4.1,28,0,0,0,0,Miami
Shell,"Shell, 11175 SW 40th St, Miami, FL 33165",0x88d9bf5040e96d9f:0xf82c39de16d669b4,25.7324904,-80.3754268,Restaurant,4.1,82,1,0,0,0,Miami
Atlantic Coast Restaurant & Mechanical Services,"Atlantic Coast Restaurant & Mechanical Services, 7700 NW 37th Ave, Miami, FL 33147",0x88d9b08d8edb0b5d:0x8ab1b860f926ef3a,25.8443786,-80.2581268,Restaurant,4.1,13,1,0,0,0,Miami
Goldstein's Prime,"Goldstein's Prime, 7419 Collins Ave, Miami Beach, FL 33141",0x88d9b2e82be492b9:0xb5270f0f202b91eb,25.8600142,-80.1208742,Restaurant,4.2,38,1,0,0,0,Miami
Booklink and Cafe,"Booklink and Cafe, 2100 Northwest 42nd Avenue, Miami, FL 33126",0x88d9b75825eea55b:0xfb9ee283c77b0977,25.797266699999998,-80.27469719999999,Restaurant,4.2,28,1,0,0,0,Miami
Kiji Cuzco,"Kiji Cuzco, 2451 NW 5 Ave, Miami, FL 33127",0x88d9b6b3be05f477:0x2a08071dee00075d,25.800487399999998,-80.2027234,Restaurant,4.2,44,0,0,0,0,Miami
The Sarsaparilla Club,"The Sarsaparilla Club, 1 18th St, Miami Beach, FL 33139",0x88d9b49c73587e23:0x4ec75334beb5e7,25.7941772,-80.128513,Restaurant,4.3,11,0,0,0,0,Miami
Laundry,"Laundry, 1044 W Flagler St, Miami, FL 33130",0x88d9b6ecff0105cf:0x347946bb16343f92,25.773280999999997,-80.21249379999999,Restaurant,4.3,53,1,0,0,0,Miami
Global Restaurant Equipment & Supplies Inc,"Global Restaurant Equipment & Supplies Inc, 650 NW 123rd St, North Miami, FL 33168",0x88d9b1dd5519ca77:0xeeb6fc09bc79f4d8,25.887089,-80.209735,Restaurant,4.4,48,1,0,0,0,Miami
Vino Tinto Tapas Bar,"Vino Tinto Tapas Bar, 423 Washington Ave, Miami Beach, FL 33139",0x88d9b4f2fba551e3:0xb28a24f6fd22269,25.774051999999998,-80.13400709999999,Restaurant,4.5,15,1,0,0,0,Miami
Cold Pressed Raw Kitchen,"Cold Pressed Raw Kitchen, 185 SE 13th St, Miami, FL 33131",0x88d9b6810bd226bf:0xc5f82c0eca77a820,25.7609688,-80.1904636,Restaurant,4.5,18,0,0,0,0,Miami
Boho,"Boho, 3433 Main Hwy, Miami, FL 33133",0x88d9b7cf8f247d9b:0x21c1fc34ff432825,25.727303799999998,-80.2428563,Restaurant,4.5,88,0,0,0,0,Miami
Cuprum Miami,"Cuprum Miami, 1401 Collins Ave, Miami Beach, FL 33139",0x88d9b5a05b22d3e5:0xcb67ef0e84d67e2d,25.7854268,-80.1306638,Restaurant,4.6,46,1,0,0,0,Miami
SoBe Hookah,"SoBe Hookah, 1700 Collins Ave, Miami Beach, FL 33139",0x88d9b56e8305be61:0x1084e983b51f08cf,25.7925424,-80.130166,Restaurant,4.6,68,0,0,0,0,Miami
STREGA GASTROPUB,"STREGA GASTROPUB, 928 71st St, Miami Beach, FL 33141",0x88d9b2e5ad0943c3:0x4955c80ae664b429,25.855349,-80.128371,Restaurant,4.6,28,0,0,0,0,Miami
Sake Room,"Sake Room, 1569 Sunset Dr, Miami, FL 33143",0x88d9c7e4d52e79f3:0xa1d21fc9d96e00f6,25.704646999999998,-80.284954,Restaurant,4.6,18,0,0,0,0,Miami
Clean Start Cleansing Miami,"Clean Start Cleansing Miami, 2336 Biscayne Blvd, Miami, FL 33137",0x88d9b3d77b06e4bb:0x930c3d4d9df90fa2,25.7997852,-80.1893874,Restaurant,4.6,104,1,0,0,0,Miami
El Taco Loco De 8,"El Taco Loco De 8, 440 SW 8th St, Miami, FL 33130",0x88d9b68efcf85bc9:0x686c833d94462ae0,25.765978399999998,-80.2016597,Restaurant,4.6,48,0,0,0,0,Miami
Mango Twister,"Mango Twister, 2800 Miamisburg Centerville Rd, Miamisburg, OH 45342",0x884089085a20f04d:0x85e8f8c8b4d2a0cc,39.6361312,-84.2216598,Restaurant,4.8,17,0,0,0,0,Miami
Toscanino,"Toscanino, 163 SE 1st St, Miami, FL 33131",0x88d9b79debefcc41:0xa67edc4e8a03f15d,25.773584,-80.190465,Restaurant,4.9,8,0,0,0,0,Miami
Homyn Food Truck,"Homyn Food Truck, 4050 NW 29th St, Miami, FL 33142",0x88d9b7d9935c2de1:0xedbdec4b3e4dd82b,25.8019835,-80.262729,Restaurant,5.0,15,0,0,0,0,Miami
Chow Miami - Restaurant Delivery Service,"Chow Miami - Restaurant Delivery Service, Lincoln Building, 350 Lincoln Rd, Miami Beach, FL 33139",0x88d9b48e2f5495d5:0xcf3ac09cc6d8b997,25.7903485,-80.1316294,Restaurant,5.0,1,0,0,0,0,Miami
Mario's Pizza Pasta,"Mario's Pizza Pasta, 1603 NE 123rd St, Miami, FL 33181",0x88d9b20ca5635365:0xda426a792a4528b2,25.8894499,-80.1659799,Restaurant,3.0,18,1,1,0,0,Miami
Koning Restaurants International,"Koning Restaurants International, 15065 S Dixie Hwy, Miami, FL 33176",0x88d9c69ee8bf9921:0x318bc81bfd785682,25.629693699999997,-80.3396439,Restaurant,3.4,7,1,1,0,0,Miami
Polo Norte Restaurant,"Polo Norte Restaurant, 1200 Washington Ave, Miami Beach, FL 33139",0x88d9b48e10373c8b:0xf1c6900c619cbdf0,25.7830576,-80.1326337,Restaurant,3.8,8,1,1,0,0,Miami
Chicago's Fish&Chicken,"Chicago's Fish&Chicken, Miami, FL 33142",0x88d9b0dba000f50b:0xcc9d6bada765d7d7,25.8222766,-80.2401191,Restaurant,3.9,7,1,1,0,0,Miami
Taco Bus,"Taco Bus, 1665 SW 107th Ave, Miami, FL 33165",0x88d9bf3312a8e081:0x503c4c25ab3e0224,25.7527199,-80.3669589,Restaurant,4.0,23,1,1,0,0,Miami
Salvadoreño 4,"Salvadoreño 4, 1159 NW 22nd Ave, Miami, FL 33125",0x88d9b745047538a9:0xb240f24e6d3513dc,25.7836377,-80.2300679,Restaurant,4.0,2,1,1,0,0,Miami
Kelly's Cajun Grill,"Kelly's Cajun Grill, 401 Biscayne Blvd, Miami, FL 33132",0x88d9b42059fcb4cf:0xf44dc7514d8c0106,25.7773376,-80.185436,Restaurant,4.1,18,1,1,0,0,Miami
La Paris Cafe,"La Paris Cafe, 251 SE 1st St, Miami, FL 33131",0x88d9b69dc4c0fd2d:0x5262cdd4ac1ad1,25.7735707,-80.18931099999999,Restaurant,4.2,58,1,1,0,0,Miami
Jin Jin,"Jin Jin, 15705 SW 56th St, Miami, FL 33185",0x88d9c01b62b5248d:0xbecefa9ebf743d9c,25.715019599999998,-80.4478875,Restaurant,4.2,78,1,1,0,0,Miami
Choices Cafe,"Choices Cafe, 379 SW 15th Rd, Miami, FL 33129",0x88d9b688c5b8e745:0xd994db76bbd8e971,25.7626402,-80.2005049,Restaurant,4.4,18,1,1,0,0,Miami
Latin House Express Cafe & Grill,"Latin House Express Cafe & Grill, NE 140th St, North Miami, FL 33161",0x88d9adf0f1d6d3af:0xd43dfee92d7a362b,25.9043776,-80.1744592,Restaurant,4.4,18,1,1,0,0,Miami
Brickel center,"Brickel center, 701 S Miami Ave, Miami, FL 33130",0x88d9b7dffc85e987:0x5ee77d77328104a3,25.7672556,-80.19302669999999,Restaurant,4.4,8,1,1,0,0,Miami
Fritanga Kendall Grille,"Fritanga Kendall Grille, 12700 SW 122nd Ave STE #103, Miami, FL 33186",0x88d9c15fabf5c115:0x3b071ac1e5356ff4,25.6506999,-80.3916991,Restaurant,4.5,74,1,1,0,0,Miami
